rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Competing CTAs on homepage,HIGH,/,Medium,2-5 days,5,10,no,conversion,"The homepage presents multiple equally prominent CTAs pointing to different destinations, making the primary next step ambiguous for new visitors.","The homepage presents multiple equally prominent CTAs pointing to different destinations, making the primary next step ambiguous for new visitors.","cta: One primary CTA above the fold (e.g., Get Started Free); notes: Visually subordinate secondary links","11 distinct calls to action compete on the same page: “Contact Us We are here to help”, “Get Started Free”, “Find Your Seat”, “Contact Us”, “Explore RSVP Tool →”, “Explore Digital Seating Chart →”, “Explore Wedibox Embed →”, “Try Free Demo”.",Funnel Path,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_1_competing_ctas_on_homepage.html
2,Missing trust signals above the fold,HIGH,Trust & Proof,Medium,2-5 days,5,10,yes,trust,"The homepage shows no sign of returns policy, guarantee, security badge, so a first-time visitor has nothing to offset purchase risk.","The homepage shows no sign of returns policy, guarantee, security badge, so a first-time visitor has nothing to offset purchase risk.","notes: Surface review counts, the returns window and a guarantee near the primary call to action.","Measured on the live homepage: no match for returns policy, guarantee, security badge.",Technical & Accessibility,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_2_missing_trust_signals_above_the_fold.html
3,Unclear what $49 buys,MEDIUM,Homepage,Medium,2-5 days,5,10,no,conversion,"The homepage lists a $49 price without stating which plan or features it corresponds to, leaving visitors uncertain about the offer above the fold.","The homepage lists a $49 price without stating which plan or features it corresponds to, leaving visitors uncertain about the offer above the fold.",notes: Add line specifying which plan $49 refers to and what it includes,"Prices shown on the page: $49 $49 $49 | The page's main headline reads “One Wedding QR Code for Collecting Photos , Videos , Messages , Voicemails , RSVPs , and Seating ”.",Message Clarity,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_3_unclear_what_49_buys.html
4,Lab Largest Contentful Paint of 3.5 s on mobile,MEDIUM,Performance,Medium,2-5 days,5,10,yes,conversion,Measured in a lab load: the page's main content takes this long to appear on a mid-range phone; most visitors have bounced long before.,Measured in a lab load: the page's main content takes this long to appear on a mid-range phone; most visitors have bounced long before.,notes: Largest Contentful Paint ≤ 2500ms (good),"Lighthouse (mobile emulation, single synthetic run via DataForSEO): Largest Contentful Paint 3.5 s against a ‘good’ threshold of 2500ms. Lab data, not real-user field data — confirms the defect class, not the field percentile.",Technical & Accessibility,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_4_lab_largest_contentful_paint_3_5s_on_mobile.html
5,Missing primary CTA on pricing page,URGENT,Pricing & Plans,Medium,2-5 days,4,10,no,conversion,"The pricing page presents plans and prices but lacks a clear, plan-specific call-to-action, leaving visitors without a direct path to purchase.","The pricing page presents plans and prices but lacks a clear, plan-specific call-to-action, leaving visitors without a direct path to purchase.",cta: Plan-specific primary CTA button beneath each pricing tier; notes: Leads to checkout or get-started flow,"9 distinct calls to action compete on the same page: “Contact Us We are here to help”, “Get Started Free”, “Find Your Seat”, “Contact Us”, “Explore Embed”, “Start over”, “See supported platforms →”, “See how Wedibox works”.",Funnel Path,0.4,1.6,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 2.0-8.0% relative lift",124891,,finding_5_missing_primary_cta_on_pricing_page.html
6,Inconsistent pricing across pages,URGENT,Pricing & Plans,Medium,2-5 days,4,10,no,trust,"The homepage and pricing page show conflicting price points for the same product, undermining clarity of cost.","The homepage and pricing page show conflicting price points for the same product, undermining clarity of cost.",notes: Align pricing displays across all pages,Prices shown on the page: $49 $49 $49 | Prices shown on the page: $29 $79 $49 $0 $29 $49,"Message Clarity, Pricing & Cost Transparency, Navigation & Information Scent",0.4,1.6,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 2.0-8.0% relative lift",124891,,finding_6_inconsistent_pricing_across_pages.html
7,Get-started flow lacks pricing context,MEDIUM,/W/Get-Started,Medium,2-5 days,4,10,no,conversion,"The get-started page shows prices but emphasizes 'free forever', creating ambiguity about when payment occurs in the funnel.","The get-started page shows prices but emphasizes 'free forever', creating ambiguity about when payment occurs in the funnel.",cta: Clarify free tier and optional upgrades; notes: State that next step is free,"Prices shown on the page: $0 $49 $79 | Page copy reads “Create a beautiful, free wedding page — ready in 60 seconds”. | 2 distinct calls to action compete on the same page: “Sign in”, “See what's included →”.",Funnel Path,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_7_get_started_flow_lacks_pricing_context.html
8,Pricing page lacks plan selector,MEDIUM,Pricing & Plans,Medium,2-5 days,4,10,no,conversion,"The pricing page lists multiple prices but offers no interactive plan selector or comparison toggle, forcing visitors to parse the page manually to choose a plan.","The pricing page lists multiple prices but offers no interactive plan selector or comparison toggle, forcing visitors to parse the page manually to choose a plan.",notes: Add clickable plan selector or side-by-side comparison table,One-Time Pricing | Plans for Couples | Prices shown on the page: $29 $79 $49 $0 $29 $49,Form & Interaction Friction,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_8_pricing_page_lacks_plan_selector.html
9,Comparison page omits trust indicators,MEDIUM,Pricing & Plans,Medium,2-5 days,4,10,no,trust,"The competitor comparison page focuses solely on price and features without any trust or credibility signals for Wedibox, weakening its position against alternatives.","The competitor comparison page focuses solely on price and features without any trust or credibility signals for Wedibox, weakening its position against alternatives.","notes: Add trust section with rating, wedding count, testimonials",What Wedding Photo Sharing Apps Actually Cost in 2026 | Price Comparison Table,Trust & Social Proof,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_9_comparison_page_omits_trust_indicators.html
10,Optional field ambiguity,MEDIUM,/W/Get-Started,Low,0.5-2 days,3,10,no,conversion,"The get-started form labels one field as optional but does not clarify which fields are required, leaving visitors unsure what they must provide before proceeding.","The get-started form labels one field as optional but does not clarify which fields are required, leaving visitors unsure what they must provide before proceeding.","notes: Add required-field markers to Partner one, Partner two, Event date",Tell us moreoptional,Form & Interaction Friction,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_10_optional_field_ambiguity.html
